sampleID	B_cell	T_cell.CD4	T_cell.CD8	Neutrophil	Macrophage	DC
MB.0396	0.077523948	0.117398373	0.206319839	0.125348815	0.020754456	0.50262033
MB.0874	0.061016101	0.097298204	0.181732351	0.122639762	0.030993122	0.503827751
MB.0179	0.095395143	0.182731201	0.2802719	0.145374016	0.081043697	0.572067164
MB.0269	0.055150409	0.114754683	0.213840737	0.152564357	0.133408418	0.557190278
MB.0582	0.081373471	0.093768693	0.134170337	0.113571254	0.039524546	0.429373126
MB.0901	0.063075643	0.10867071	0.207882264	0.126048699	0.060193476	0.513502673
MB.0499	0.07594163	0.11856514	0.243598585	0.145968599	0.143093133	0.590696078
MB.0403	0.098300779	0.11456871	0.242771369	0.142892607	0.107924122	0.557096504
MB.0464	0.125143357	0.116039484	0.209207402	0.110934496	0.054238087	0.486924864
MB.0163	0.084474643	0.095366638	0.168110073	0.103698148	0.050266323	0.45015536
MB.0149	0.075908629	0.100421746	0.134600299	0.110797939	0.025379064	0.434642327
MB.0153	0.056116913	0.105553899	0.182425747	0.109428814	0.078820101	0.446836387
MB.0350	0.057094154	0.107972921	0.151842877	0.101722812	0.04847184	0.449827653
MB.0020	0.079951705	0.100772038	0.191005394	0.105294705	0.060690739	0.443748812
MB.0495	0.054595098	0.109467609	0.18003722	0.131856628	0.09788803	0.496060246
MB.0470	0.070075403	0.091044715	0.167039975	0.098057777	0.027305243	0.394936039
MB.0303	0.101912381	0.122336939	0.226549399	0.143028391	0.076935425	0.528209217
MB.0340	0.066469341	0.130785752	0.161899999	0.163025964	0.017436798	0.518825932
MB.0502	0.063951034	0.133473909	0.239643265	0.151709605	0.163935792	0.62135788
MB.0289	0.059135425	0.128337667	0.22058275	0.140030672	0.148168531	0.59262727
MB.0436	0.068503954	0.113782633	0.16184893	0.122119765	0.090428881	0.490369199
MB.0299	0.070426051	0.107389373	0.156482643	0.118327605	0.053115713	0.468206833
MB.0211	0.059142409	0.111949408	0.183344656	0.129200975	0.092399256	0.501170508
MB.0110	0.048032524	0.100598226	0.221947796	0.112383537	0.061705281	0.454806656
MB.0588	0.098784395	0.113590131	0.207757702	0.107788693	0.059744883	0.491744916
MB.0188	0.091945181	0.106128415	0.252136088	0.132077111	0.080614421	0.478774335
MB.0617	0.071793882	0.111963275	0.253927218	0.136506185	0.107502236	0.506657073
MB.7225	0.100399233	0.09661296	0.154077768	0.111848339	0.019465712	0.45583266
MB.7089	0.096712172	0.123508677	0.250887588	0.129726085	0.041225864	0.541153808
MB.7030	0.087688256	0.104115975	0.186752539	0.111063498	0.068553939	0.465963189
MB.7119	0.116490553	0.127920804	0.218582201	0.124229643	0.056906795	0.47879706
MB.7012	0.070022484	0.107144737	0.149057247	0.130712914	0.035324935	0.470560638
MB.0174	0.060294503	0.137670657	0.176412051	0.159272403	0.112031465	0.514725177
MB.7039	0.079901259	0.121920552	0.201463518	0.115521708	0.073305625	0.486517781
MB.5547	0.07613346	0.097811405	0.152440643	0.102065659	0.02398049	0.427553624
MB.5465	0.08182022	0.11045091	0.170663367	0.115417577	0.055658474	0.477795892
